species_code,species,production_system,stage_weight,code,specification,short_name,unit,restriction_type,value
101,Nile Tilapia,General,< 5g (Starter),PA02,Moisture,H2O,%,Minimum,10
101,Nile Tilapia,General,< 5g (Starter),PA03,Crude  Protein,CP,%,Minimum,43
101,Nile Tilapia,General,< 5g (Starter),PA04,Crude Lipids,LIPID,%,Minimum,5
101,Nile Tilapia,General,< 5g (Starter),PA05,Crude Fibre,CF,%,Maximum,7
101,Nile Tilapia,General,< 5g (Starter),PA06,Ash,ASH,%,Maximum,
101,Nile Tilapia,General,< 5g (Starter),PA07,NFE,NFE,%,Maximum,
101,Nile Tilapia,General,< 5g (Starter),PA08,NDF,NDF,%,Maximum,
101,Nile Tilapia,General,< 5g (Starter),PA09,ADF,ADF,%,Maximum,
101,Nile Tilapia,General,< 5g (Starter),PA11,Starch,STARC,%,Minimum,19
101,Nile Tilapia,General,< 5g (Starter),ED01,DE Fish Carni,,kcal,Minimum,
101,Nile Tilapia,General,< 5g (Starter),ED02,DE Fish Omni,,kcal,Minimum,3673
101,Nile Tilapia,General,< 5g (Starter),ED03,DE Carp,,kcal,Minimum,
101,Nile Tilapia,General,< 5g (Starter),ED04,DE Shrimp,,kcal,Minimum,
101,Nile Tilapia,General,< 5g (Starter),ADPXF02,Dig CP - fish,DP,%,Minimum,38
101,Nile Tilapia,General,< 5g (Starter),ADPXF04,Dig GE (DE) - fish,DE kcal,kcal,Minimum,3581
101,Nile Tilapia,General,< 5g (Starter),ADPXF09,DP/DE  (g/MJ),DP/DE J,g/MJ,Ratio,25.3
101,Nile Tilapia,General,< 5g (Starter),ADPXF10,DP/DE (g/kcal),DP/DE C,g/kcal,Ratio,
101,Nile Tilapia,General,< 5g (Starter),AA01,Arginine,ARG,%,Minimum,1.77
101,Nile Tilapia,General,< 5g (Starter),AA02,Histidine,HIS,%,Minimum,0.55
101,Nile Tilapia,General,< 5g (Starter),AA03,Isoleucine,ILE,%,Minimum,0.98
101,Nile Tilapia,General,< 5g (Starter),AA04,Leucine,LEU,%,Minimum,1.76
101,Nile Tilapia,General,< 5g (Starter),AA05,Lysine,LYS,%,Minimum,1.99
101,Nile Tilapia,General,< 5g (Starter),AA06,Methionine,MET,%,Minimum,0.77
101,Nile Tilapia,General,< 5g (Starter),AA07,Phenylalanine,PHE,%,Minimum,1
101,Nile Tilapia,General,< 5g (Starter),AA08,Threonine,THR,%,Minimum,1.26
101,Nile Tilapia,General,< 5g (Starter),AA09,Tryptophan,TRP,%,Minimum,0.24
101,Nile Tilapia,General,< 5g (Starter),AA10,Valine,VAL,%,Minimum,1.27
101,Nile Tilapia,General,< 5g (Starter),AA11,Cystine,CYS,%,Minimum,
101,Nile Tilapia,General,< 5g (Starter),AA12,TSAA (Met+Cys),SAA,%,Minimum,1.17
101,Nile Tilapia,General,< 5g (Starter),AA13,Tyrosine,TYR,%,Minimum,
101,Nile Tilapia,General,< 5g (Starter),AA14,Phe+Tyr,PHE+TYR,%,Minimum,1.62
101,Nile Tilapia,General,< 5g (Starter),AA20,Sum EAAs,,%,Minimum,
101,Nile Tilapia,General,< 5g (Starter),AA23,Taurine,TAU,%,Minimum,
101,Nile Tilapia,General,< 5g (Starter),ADAAF01,Dig Arg - fish,DARG,%,Minimum,1.57
101,Nile Tilapia,General,< 5g (Starter),ADAAF02,Dig His - fish,DHIS,%,Minimum,0.49
101,Nile Tilapia,General,< 5g (Starter),ADAAF03,Dig Ile - fish,DILE,%,Minimum,0.87
101,Nile Tilapia,General,< 5g (Starter),ADAAF04,Dig Leu - fish,DLEU,%,Minimum,1.57
101,Nile Tilapia,General,< 5g (Starter),ADAAF05,Dig Lys - fish,DLYS,%,Minimum,1.77
101,Nile Tilapia,General,< 5g (Starter),ADAAF06,Dig Met - fish,DMET,%,Minimum,0.66
101,Nile Tilapia,General,< 5g (Starter),ADAAF07,Dig Phe - fish,DPHE,%,Minimum,0.89
101,Nile Tilapia,General,< 5g (Starter),ADAAF08,Dig Thr - fish,DTHR,%,Minimum,1.12
101,Nile Tilapia,General,< 5g (Starter),ADAAF09,Dig Trp - fish,DTRP,%,Minimum,0.2
