code,description,ingredient,quantity
10000,"Fish meal, mixed fish, South Asia, 74% CP",dry_matter_percent,90.8
10000,"Fish meal, mixed fish, South Asia, 74% CP",moisture_percent,9.2
10000,"Fish meal, mixed fish, South Asia, 74% CP",crude_protein_percent,74.2
10000,"Fish meal, mixed fish, South Asia, 74% CP",crude_lipids_percent,5
10000,"Fish meal, mixed fish, South Asia, 74% CP",crude_fibre_percent,0.5
10000,"Fish meal, mixed fish, South Asia, 74% CP",ash_percent,10
10000,"Fish meal, mixed fish, South Asia, 74% CP",nfe_percent,1.2
10000,"Fish meal, mixed fish, South Asia, 74% CP",ndf_percent,0
10000,"Fish meal, mixed fish, South Asia, 74% CP",adf_percent,0
10000,"Fish meal, mixed fish, South Asia, 74% CP",total_cho_percent,1.7
10000,"Fish meal, mixed fish, South Asia, 74% CP",starch_percent,0
10000,"Fish meal, mixed fish, South Asia, 74% CP",sugars_percent,0
10000,"Fish meal, mixed fish, South Asia, 74% CP",fermentable_fiber_percent,1.7
10000,"Fish meal, mixed fish, South Asia, 74% CP",gross_energy_mj_mj_kg,20
10000,"Fish meal, mixed fish, South Asia, 74% CP",gross_energy_kcal_kcal_kg,4713
10000,"Fish meal, mixed fish, South Asia, 74% CP",de_fish_carni_old_kcal_kg,4242
10000,"Fish meal, mixed fish, South Asia, 74% CP",de_fish_omni_old_kcal_kg,4242
10000,"Fish meal, mixed fish, South Asia, 74% CP",de_carp_old_kcal_kg,4242
10000,"Fish meal, mixed fish, South Asia, 74% CP",de_shrimp_old_kcal_kg,4242
10000,"Fish meal, mixed fish, South Asia, 74% CP",de_fish_carni_extruded_kcal_kg,4148
10000,"Fish meal, mixed fish, South Asia, 74% CP",de_fish_omni_extruded_kcal_kg,4195
10000,"Fish meal, mixed fish, South Asia, 74% CP",de_carp_extruded_kcal_kg,4195
10000,"Fish meal, mixed fish, South Asia, 74% CP",de_shrimp_extruded_kcal_kg,4195
10000,"Fish meal, mixed fish, South Asia, 74% CP",de_fish_carni_pelleted_kcal_kg,4148
