survey_id,trip_id,landing_date,gaul_1_code,gaul_1_name,gaul_2_code,gaul_2_name,n_fishers,trip_duration_hrs,gear,vessel_type,catch_habitat,catch_outcome,n_catch,catch_taxon,scientific_name,length_cm,catch_kg,catch_price,tot_catch_kg,tot_catch_price
apobg7g9x9c5ZqHbcn69T3,TRIP_715693918,2025-10-21,1490,Nampula,104373,Ilha De Moçambique,10,9.06666666666667,Trawl Net,Planked Canoe,Shore,1,1,CJZ,Caesio lunaris,,30,,30,2900
apobg7g9x9c5ZqHbcn69T3,TRIP_715693927,2025-10-21,1490,Nampula,104373,Ilha De Moçambique,20,34.1333333333333,Purse Seine,Motorized Boat,Open sea,0,,,,,0,,0,0
apobg7g9x9c5ZqHbcn69T3,TRIP_716414848,2025-10-23,1484,Cabo Delgado,104320,Pemba,2,5,Gill Net,Planked Canoe,Estuary,0,,,,,0,,0,0
apobg7g9x9c5ZqHbcn69T3,TRIP_716797347,2025-10-24,1486,Gaza,104336,Xai-Xai,6,10.3333333333333,Gill Net,Motorized Boat,Open sea,1,1,CCT,Carcharias taurus,,436,,872,109
apobg7g9x9c5ZqHbcn69T3,TRIP_716797347,2025-10-24,1486,Gaza,104336,Xai-Xai,6,10.3333333333333,Gill Net,Motorized Boat,Open sea,1,2,CCT,Carcharias taurus,,436,,872,109
apobg7g9x9c5ZqHbcn69T3,TRIP_717069214,2025-10-25,1486,Gaza,104336,Xai-Xai,6,9.58333333333333,Gill Net,Motorized Boat,Open sea,1,1,GTF,Rhinobatidae,,26,,26,6500
apobg7g9x9c5ZqHbcn69T3,TRIP_717414066,2025-10-27,1484,Cabo Delgado,104320,Pemba,2,4,Gill Net,Dugout Canoe,Estuary,1,1,EFZ,Cheilopogon cyanopterus,,10,,10,1700
apobg7g9x9c5ZqHbcn69T3,TRIP_718316069,2025-10-29,1487,Inhambane,104342,Inhassoro,9,13.2,,Raft,Rocky area / Reef base,1,1,USY,Scarus ghobban,,60,,60,5000
apobg7g9x9c5ZqHbcn69T3,TRIP_718733256,2025-10-30,1492,Sofala,104410,Beira,7,10.8666666666667,Trawl Net,Flat Boat,Estuary,1,1,AUD,Plicofollis dussumieri,,70,,70,3200
apobg7g9x9c5ZqHbcn69T3,TRIP_718743518,2025-10-30,1492,Sofala,104410,Beira,2,13.95,Gill Net,Dugout Canoe,Estuary,1,1,EYV,Thryssa vitrirostris,12.5,,,,5000
apobg7g9x9c5ZqHbcn69T3,TRIP_718743518,2025-10-30,1492,Sofala,104410,Beira,2,13.95,Gill Net,Dugout Canoe,Estuary,1,1,EYV,Thryssa vitrirostris,17.5,,,,5000
apobg7g9x9c5ZqHbcn69T3,TRIP_718743518,2025-10-30,1492,Sofala,104410,Beira,2,13.95,Gill Net,Dugout Canoe,Estuary,1,2,JOU,Johnius dussumieri,12.5,0.209730524926285,,,5000
apobg7g9x9c5ZqHbcn69T3,TRIP_718743518,2025-10-30,1492,Sofala,104410,Beira,2,13.95,Gill Net,Dugout Canoe,Estuary,1,3,PNI,Penaeus indicus,,5,,,5000
apobg7g9x9c5ZqHbcn69T3,TRIP_718852612,2025-10-31,1484,Cabo Delgado,104320,Pemba,1,6.43333333333333,Hand Line,Dugout Canoe,Open sea,1,1,LTS,Lethrinus lentjan,,1.5,,1.5,500
apobg7g9x9c5ZqHbcn69T3,TRIP_718873337,2025-10-31,1484,Cabo Delgado,104320,Pemba,18,8.18333333333333,Purse Seine,Motorized Boat,Open sea,1,1,CJZ,Caesio lunaris,,30,,30,5500
apobg7g9x9c5ZqHbcn69T3,TRIP_718883041,2025-10-31,1484,Cabo Delgado,104320,Pemba,18,8.03333333333333,Purse Seine,Motorized Boat,Open sea,1,1,EFZ,Cheilopogon cyanopterus,,30,,30,5000
apobg7g9x9c5ZqHbcn69T3,TRIP_718947142,2025-10-31,1492,Sofala,104410,Beira,7,8.93333333333333,Trawl Net,Flat Boat,Estuary,1,1,AUD,Plicofollis dussumieri,,560,,560,22800
apobg7g9x9c5ZqHbcn69T3,TRIP_719012654,2025-10-31,1492,Sofala,104410,Beira,7,8.98333333333333,Trawl Net,Flat Boat,Estuary,1,1,AUD,Plicofollis dussumieri,,1120,,1120,5160
apobg7g9x9c5ZqHbcn69T3,TRIP_719013320,2025-10-30,1492,Sofala,104410,Beira,7,11.3166666666667,Trawl Net,Flat Boat,Estuary,1,1,AUD,Plicofollis dussumieri,,105,,468,9000
apobg7g9x9c5ZqHbcn69T3,TRIP_719013320,2025-10-30,1492,Sofala,104410,Beira,7,11.3166666666667,Trawl Net,Flat Boat,Estuary,1,2,JOU,Johnius dussumieri,,175,,468,9000
apobg7g9x9c5ZqHbcn69T3,TRIP_719013320,2025-10-30,1492,Sofala,104410,Beira,7,11.3166666666667,Trawl Net,Flat Boat,Estuary,1,3,PEO,Pellona ditchela,,175,,468,9000
apobg7g9x9c5ZqHbcn69T3,TRIP_719013320,2025-10-30,1492,Sofala,104410,Beira,7,11.3166666666667,Trawl Net,Flat Boat,Estuary,1,4,LKR,Otolithes ruber,,4,,468,9000
apobg7g9x9c5ZqHbcn69T3,TRIP_719013320,2025-10-30,1492,Sofala,104410,Beira,7,11.3166666666667,Trawl Net,Flat Boat,Estuary,1,5,NAP,Parapenaeopsis sculptilis,,3,,468,9000
apobg7g9x9c5ZqHbcn69T3,TRIP_719013320,2025-10-30,1492,Sofala,104410,Beira,7,11.3166666666667,Trawl Net,Flat Boat,Estuary,1,6,PNI,Penaeus indicus,,1,,468,9000
apobg7g9x9c5ZqHbcn69T3,TRIP_719013320,2025-10-30,1492,Sofala,104410,Beira,7,11.3166666666667,Trawl Net,Flat Boat,Estuary,1,7,MPN,Metapenaeus monoceros,,5,,468,9000
apobg7g9x9c5ZqHbcn69T3,TRIP_719013574,2025-10-30,1492,Sofala,104410,Beira,3,9.66666666666667,Gill Net,Planked Canoe,Estuary,1,1,CCB,Carcharhinus brevipinna,,140,,143,6500
apobg7g9x9c5ZqHbcn69T3,TRIP_719013574,2025-10-30,1492,Sofala,104410,Beira,3,9.66666666666667,Gill Net,Planked Canoe,Estuary,1,2,HIX,Hilsa kelee,,3,,143,6500
apobg7g9x9c5ZqHbcn69T3,TRIP_719014259,2025-10-27,1492,Sofala,104410,Beira,7,9.03333333333333,Trawl Net,Flat Boat,Estuary,1,1,NAP,Parapenaeopsis sculptilis,,80,,160,5200
apobg7g9x9c5ZqHbcn69T3,TRIP_719014259,2025-10-27,1492,Sofala,104410,Beira,7,9.03333333333333,Trawl Net,Flat Boat,Estuary,1,2,NAP,Parapenaeopsis sculptilis,,80,,160,5200
apobg7g9x9c5ZqHbcn69T3,TRIP_719626629,2025-11-03,1490,Nampula,104388,Nacala,18,6,Purse Seine,Motorized Boat,Open sea,1,1,IUU,Siganus sutor,,280,,480,10000
apobg7g9x9c5ZqHbcn69T3,TRIP_719626629,2025-11-03,1490,Nampula,104388,Nacala,18,6,Purse Seine,Motorized Boat,Open sea,1,2,ULG,Calotomus carolinus,,80,,480,10000
