location,zone,tank_id,tank_id_raw,date,period,parameter,value,unit
Aqua,Aqua,3,3,2025-07-10,morning,ammonia,0.16,mg/L
Aqua,Aqua,3,3,2025-07-10,morning,nitrate,6.8,mg/L
Aqua,Aqua,3,3,2025-07-10,morning,nitrite,0.44,mg/L
Aqua,Aqua,3,3,2025-07-10,morning,ph,6.38,pH
Aqua,Aqua,8,8,2025-07-10,morning,ammonia,0.17,mg/L
Aqua,Aqua,8,8,2025-07-10,morning,nitrate,7.3,mg/L
Aqua,Aqua,8,8,2025-07-10,morning,nitrite,0.005,mg/L
Aqua,Aqua,8,8,2025-07-10,morning,ph,6.58,pH
Aqua,Aqua,14,14,2025-07-08,morning,ammonia,0.13,mg/L
Aqua,Aqua,14,14,2025-07-08,morning,nitrate,7.3,mg/L
Aqua,Aqua,14,14,2025-07-08,morning,nitrite,0.028,mg/L
Aqua,Aqua,14,14,2025-07-08,morning,ph,6.64,pH
Aqua,Aqua,16,16,2025-07-10,morning,ammonia,0.16,mg/L
Aqua,Aqua,16,16,2025-07-10,morning,nitrate,7.0,mg/L
Aqua,Aqua,16,16,2025-07-10,morning,nitrite,0.51,mg/L
Aqua,Aqua,16,16,2025-07-10,morning,ph,6.71,pH
Aqua,Aqua,20,20,2025-07-08,morning,ammonia,0.11,mg/L
Aqua,Aqua,20,20,2025-07-08,morning,nitrate,6.9,mg/L
Aqua,Aqua,20,20,2025-07-08,morning,nitrite,0.073,mg/L
Aqua,Aqua,20,20,2025-07-08,morning,ph,6.82,pH
Aqua,Aqua,24,24,2025-07-10,morning,ammonia,0.16,mg/L
Aqua,Aqua,24,24,2025-07-10,morning,nitrate,7.9,mg/L
Aqua,Aqua,24,24,2025-07-10,morning,nitrite,0.56,mg/L
Aqua,Aqua,24,24,2025-07-10,morning,ph,6.83,pH
Block L,Block L,1,1,2025-07-01,morning,dissolved_oxygen,7.08,mg/L
Block L,Block L,1,1,2025-07-01,morning,temperature,28.8,degC
Block L,Block L,1,1,2025-07-02,morning,dissolved_oxygen,6.44,mg/L
Block L,Block L,1,1,2025-07-02,morning,temperature,27.6,degC
Block L,Block L,1,1,2025-07-03,morning,dissolved_oxygen,7.25,mg/L
Block L,Block L,1,1,2025-07-03,morning,temperature,28.1,degC
Block L,Block L,1,1,2025-07-04,morning,dissolved_oxygen,7.04,mg/L
Block L,Block L,1,1,2025-07-04,morning,temperature,28.4,degC
Block L,Block L,1,1,2025-07-07,morning,ammonia,1.43,mg/L
Block L,Block L,1,1,2025-07-07,morning,nitrate,3.5,mg/L
Block L,Block L,1,1,2025-07-07,morning,nitrite,0.7,mg/L
Block L,Block L,1,1,2025-07-07,morning,ph,6.97,pH
Block L,Block L,1,1,2025-07-10,morning,dissolved_oxygen,7.51,mg/L
Block L,Block L,1,1,2025-07-10,morning,temperature,28.5,degC
Block L,Block L,1,1,2025-07-11,morning,ammonia,2.45,mg/L
Block L,Block L,1,1,2025-07-11,morning,dissolved_oxygen,5.18,mg/L
Block L,Block L,1,1,2025-07-11,morning,nitrate,2.6,mg/L
Block L,Block L,1,1,2025-07-11,morning,nitrite,0.017,mg/L
Block L,Block L,1,1,2025-07-11,morning,ph,6.7,pH
Block L,Block L,1,1,2025-07-11,morning,temperature,30.1,degC
Block L,Block L,1,1,2025-07-15,morning,dissolved_oxygen,7.02,mg/L
Block L,Block L,1,1,2025-07-15,morning,temperature,28.7,degC
Block L,Block L,1,1,2025-07-17,morning,dissolved_oxygen,7.4,mg/L
Block L,Block L,1,1,2025-07-17,morning,temperature,29.0,degC
Block L,Block L,1,1,2025-07-18,morning,dissolved_oxygen,7.11,mg/L
Block L,Block L,1,1,2025-07-18,morning,temperature,29.2,degC
Block L,Block L,1,1,2025-07-21,morning,dissolved_oxygen,6.63,mg/L
Block L,Block L,1,1,2025-07-21,morning,temperature,29.5,degC
Block L,Block L,1,1,2025-07-23,morning,dissolved_oxygen,6.3,mg/L
Block L,Block L,1,1,2025-07-23,morning,temperature,27.5,degC
Block L,Block L,1,1,2025-07-24,morning,dissolved_oxygen,9.21,mg/L
Block L,Block L,1,1,2025-07-24,morning,temperature,28.5,degC
Block L,Block L,1,1,2025-07-28,morning,dissolved_oxygen,7.35,mg/L
Block L,Block L,1,1,2025-07-28,morning,temperature,28.9,degC
Block L,Block L,1,1,2025-07-29,morning,dissolved_oxygen,7.12,mg/L
Block L,Block L,1,1,2025-07-29,morning,temperature,29.2,degC
Block L,Block L,2,2,2025-07-01,afternoon,dissolved_oxygen,6.28,mg/L
Block L,Block L,2,2,2025-07-01,afternoon,temperature,29.1,degC
Block L,Block L,2,2,2025-07-01,morning,dissolved_oxygen,6.71,mg/L
Block L,Block L,2,2,2025-07-01,morning,temperature,28.0,degC
Block L,Block L,2,2,2025-07-02,afternoon,dissolved_oxygen,6.4,mg/L
Block L,Block L,2,2,2025-07-02,afternoon,temperature,28.6,degC
Block L,Block L,2,2,2025-07-02,morning,dissolved_oxygen,7.15,mg/L
Block L,Block L,2,2,2025-07-02,morning,temperature,28.4,degC
Block L,Block L,2,2,2025-07-03,morning,dissolved_oxygen,6.13,mg/L
Block L,Block L,2,2,2025-07-03,morning,temperature,27.3,degC
Block L,Block L,2,2,2025-07-08,afternoon,dissolved_oxygen,6.78,mg/L
Block L,Block L,2,2,2025-07-08,afternoon,temperature,28.1,degC
Block L,Block L,2,2,2025-07-10,afternoon,dissolved_oxygen,6.62,mg/L
Block L,Block L,2,2,2025-07-10,afternoon,temperature,28.0,degC
Block L,Block L,2,2,2025-07-10,morning,dissolved_oxygen,6.54,mg/L
Block L,Block L,2,2,2025-07-10,morning,temperature,27.7,degC
Block L,Block L,2,2,2025-07-11,afternoon,dissolved_oxygen,5.82,mg/L
Block L,Block L,2,2,2025-07-11,afternoon,temperature,31.0,degC
Block L,Block L,2,2,2025-07-11,morning,dissolved_oxygen,5.48,mg/L
Block L,Block L,2,2,2025-07-11,morning,temperature,30.2,degC
Block L,Block L,2,2,2025-07-15,afternoon,dissolved_oxygen,5.98,mg/L
Block L,Block L,2,2,2025-07-15,afternoon,temperature,28.6,degC
Block L,Block L,2,2,2025-07-15,morning,dissolved_oxygen,6.56,mg/L
Block L,Block L,2,2,2025-07-15,morning,temperature,27.8,degC
Block L,Block L,2,2,2025-07-16,afternoon,dissolved_oxygen,6.35,mg/L
Block L,Block L,2,2,2025-07-16,afternoon,temperature,28.4,degC
Block L,Block L,2,2,2025-07-17,afternoon,dissolved_oxygen,6.05,mg/L
Block L,Block L,2,2,2025-07-17,afternoon,temperature,29.0,degC
Block L,Block L,2,2,2025-07-17,morning,dissolved_oxygen,6.32,mg/L
Block L,Block L,2,2,2025-07-17,morning,temperature,27.9,degC
Block L,Block L,2,2,2025-07-18,afternoon,dissolved_oxygen,6.44,mg/L
Block L,Block L,2,2,2025-07-18,afternoon,temperature,29.3,degC
Block L,Block L,2,2,2025-07-18,morning,dissolved_oxygen,6.4,mg/L
Block L,Block L,2,2,2025-07-18,morning,temperature,28.2,degC
Block L,Block L,2,2,2025-07-21,afternoon,dissolved_oxygen,6.59,mg/L
Block L,Block L,2,2,2025-07-21,afternoon,temperature,29.4,degC
Block L,Block L,2,2,2025-07-21,morning,dissolved_oxygen,6.63,mg/L
Block L,Block L,2,2,2025-07-21,morning,temperature,28.1,degC
Block L,Block L,2,2,2025-07-22,afternoon,dissolved_oxygen,6.61,mg/L
Block L,Block L,2,2,2025-07-22,afternoon,temperature,29.1,degC
Block L,Block L,2,2,2025-07-23,afternoon,dissolved_oxygen,5.62,mg/L
Block L,Block L,2,2,2025-07-23,afternoon,temperature,30.4,degC
Block L,Block L,2,2,2025-07-23,morning,dissolved_oxygen,6.17,mg/L
Block L,Block L,2,2,2025-07-23,morning,temperature,27.2,degC
Block L,Block L,2,2,2025-07-24,afternoon,dissolved_oxygen,7.72,mg/L
Block L,Block L,2,2,2025-07-24,afternoon,temperature,29.6,degC
Block L,Block L,2,2,2025-07-24,morning,dissolved_oxygen,8.66,mg/L
Block L,Block L,2,2,2025-07-24,morning,temperature,28.6,degC
Block L,Block L,2,2,2025-07-25,afternoon,dissolved_oxygen,8.77,mg/L
Block L,Block L,2,2,2025-07-25,afternoon,temperature,29.8,degC
Block L,Block L,2,2,2025-07-28,afternoon,dissolved_oxygen,6.25,mg/L
Block L,Block L,2,2,2025-07-28,afternoon,temperature,29.4,degC
Block L,Block L,2,2,2025-07-28,morning,dissolved_oxygen,6.05,mg/L
Block L,Block L,2,2,2025-07-28,morning,temperature,28.2,degC
Block L,Block L,2,2,2025-07-29,afternoon,dissolved_oxygen,6.15,mg/L
Block L,Block L,2,2,2025-07-29,afternoon,temperature,29.7,degC
Block L,Block L,2,2,2025-07-29,morning,dissolved_oxygen,6.35,mg/L
Block L,Block L,2,2,2025-07-29,morning,temperature,28.4,degC
Block L,Block L,2,2,2025-07-30,afternoon,dissolved_oxygen,5.14,mg/L
Block L,Block L,2,2,2025-07-30,afternoon,temperature,29.4,degC
Block L,Block L,3,3,2025-07-01,afternoon,dissolved_oxygen,6.78,mg/L
Block L,Block L,3,3,2025-07-01,afternoon,temperature,28.8,degC
Block L,Block L,3,3,2025-07-01,morning,dissolved_oxygen,7.37,mg/L
