location,zone,tank_id,tank_id_raw,date,period,dissolved_oxygen,temperature,ph,ammonia,nitrate,nitrite,remarks
Aqua,Aqua,3,3,2025-07-10,morning,,,6.38,0.16,6.8,0.44,
Aqua,Aqua,8,8,2025-07-10,morning,,,6.58,0.17,7.3,0.005,
Aqua,Aqua,14,14,2025-07-08,morning,,,6.64,0.13,7.3,0.028,
Aqua,Aqua,16,16,2025-07-10,morning,,,6.71,0.16,7.0,0.51,
Aqua,Aqua,20,20,2025-07-08,morning,,,6.82,0.11,6.9,0.073,
Aqua,Aqua,24,24,2025-07-10,morning,,,6.83,0.16,7.9,0.56,
Block L,Block L,1,1,2025-07-01,morning,7.08,28.8,,,,,
Block L,Block L,1,1,2025-07-02,morning,6.44,27.6,,,,,
Block L,Block L,1,1,2025-07-03,morning,7.25,28.1,,,,,
Block L,Block L,1,1,2025-07-04,morning,7.04,28.4,,,,,
Block L,Block L,1,1,2025-07-07,morning,,,6.97,1.43,3.5,0.7,
Block L,Block L,1,1,2025-07-10,morning,7.51,28.5,,,,,
Block L,Block L,1,1,2025-07-11,morning,5.18,30.1,6.7,2.45,2.6,0.017,
Block L,Block L,1,1,2025-07-15,morning,7.02,28.7,,,,,
Block L,Block L,1,1,2025-07-17,morning,7.4,29.0,,,,,
Block L,Block L,1,1,2025-07-18,morning,7.11,29.2,,,,,
Block L,Block L,1,1,2025-07-21,morning,6.63,29.5,,,,,
Block L,Block L,1,1,2025-07-23,morning,6.3,27.5,,,,,
Block L,Block L,1,1,2025-07-24,morning,9.21,28.5,,,,,
Block L,Block L,1,1,2025-07-28,morning,7.35,28.9,,,,,
Block L,Block L,1,1,2025-07-29,morning,7.12,29.2,,,,,
Block L,Block L,2,2,2025-07-01,afternoon,6.28,29.1,,,,,
Block L,Block L,2,2,2025-07-01,morning,6.71,28.0,,,,,
Block L,Block L,2,2,2025-07-02,afternoon,6.4,28.6,,,,,
Block L,Block L,2,2,2025-07-02,morning,7.15,28.4,,,,,
Block L,Block L,2,2,2025-07-03,morning,6.13,27.3,,,,,
Block L,Block L,2,2,2025-07-08,afternoon,6.78,28.1,,,,,
Block L,Block L,2,2,2025-07-10,afternoon,6.62,28.0,,,,,
Block L,Block L,2,2,2025-07-10,morning,6.54,27.7,,,,,
Block L,Block L,2,2,2025-07-11,afternoon,5.82,31.0,,,,,
Block L,Block L,2,2,2025-07-11,morning,5.48,30.2,,,,,
Block L,Block L,2,2,2025-07-15,afternoon,5.98,28.6,,,,,
Block L,Block L,2,2,2025-07-15,morning,6.56,27.8,,,,,
Block L,Block L,2,2,2025-07-16,afternoon,6.35,28.4,,,,,
Block L,Block L,2,2,2025-07-17,afternoon,6.05,29.0,,,,,
Block L,Block L,2,2,2025-07-17,morning,6.32,27.9,,,,,
Block L,Block L,2,2,2025-07-18,afternoon,6.44,29.3,,,,,
Block L,Block L,2,2,2025-07-18,morning,6.4,28.2,,,,,
Block L,Block L,2,2,2025-07-21,afternoon,6.59,29.4,,,,,
Block L,Block L,2,2,2025-07-21,morning,6.63,28.1,,,,,
Block L,Block L,2,2,2025-07-22,afternoon,6.61,29.1,,,,,
Block L,Block L,2,2,2025-07-23,afternoon,5.62,30.4,,,,,
Block L,Block L,2,2,2025-07-23,morning,6.17,27.2,,,,,
Block L,Block L,2,2,2025-07-24,afternoon,7.72,29.6,,,,,
Block L,Block L,2,2,2025-07-24,morning,8.66,28.6,,,,,
Block L,Block L,2,2,2025-07-25,afternoon,8.77,29.8,,,,,
Block L,Block L,2,2,2025-07-28,afternoon,6.25,29.4,,,,,
Block L,Block L,2,2,2025-07-28,morning,6.05,28.2,,,,,
Block L,Block L,2,2,2025-07-29,afternoon,6.15,29.7,,,,,
Block L,Block L,2,2,2025-07-29,morning,6.35,28.4,,,,,
Block L,Block L,2,2,2025-07-30,afternoon,5.14,29.4,,,,,
Block L,Block L,3,3,2025-07-01,afternoon,6.78,28.8,,,,,
Block L,Block L,3,3,2025-07-01,morning,7.37,27.8,,,,,
Block L,Block L,3,3,2025-07-02,afternoon,6.67,28.3,,,,,
Block L,Block L,3,3,2025-07-02,morning,6.8,27.6,,,,,
Block L,Block L,3,3,2025-07-03,morning,7.08,27.0,,,,,
Block L,Block L,3,3,2025-07-04,afternoon,6.95,28.1,,,,,
Block L,Block L,3,3,2025-07-04,morning,7.23,27.2,,,,,
Block L,Block L,3,3,2025-07-08,afternoon,6.76,28.0,,,,,
Block L,Block L,3,3,2025-07-10,afternoon,6.87,27.9,,,,,
Block L,Block L,3,3,2025-07-10,morning,6.75,27.7,,,,,
Block L,Block L,3,3,2025-07-11,afternoon,6.62,30.8,,,,,
Block L,Block L,3,3,2025-07-11,morning,6.43,30.0,,,,,
Block L,Block L,3,3,2025-07-15,afternoon,6.82,28.3,,,,,
Block L,Block L,3,3,2025-07-15,morning,7.1,27.4,,,,,
Block L,Block L,3,3,2025-07-16,afternoon,7.05,28.2,,,,,
Block L,Block L,3,3,2025-07-17,afternoon,6.96,28.6,,,,,
Block L,Block L,3,3,2025-07-17,morning,6.87,27.4,,,,,
Block L,Block L,3,3,2025-07-18,afternoon,6.93,28.9,,,,,
Block L,Block L,3,3,2025-07-18,morning,7.07,27.8,,,,,
Block L,Block L,3,3,2025-07-21,afternoon,6.99,28.9,,,,,
Block L,Block L,3,3,2025-07-21,morning,6.81,27.6,,,,,
Block L,Block L,3,3,2025-07-22,afternoon,6.65,28.6,,,,,
Block L,Block L,3,3,2025-07-23,afternoon,6.73,30.2,,,,,
Block L,Block L,3,3,2025-07-23,morning,6.92,27.2,,,,,
Block L,Block L,3,3,2025-07-24,afternoon,9.0,29.4,,,,,
Block L,Block L,3,3,2025-07-24,morning,9.55,28.3,,,,,
Block L,Block L,3,3,2025-07-25,afternoon,9.14,29.4,,,,,
Block L,Block L,3,3,2025-07-28,afternoon,7.06,29.0,,,,,
Block L,Block L,3,3,2025-07-28,morning,7.05,27.6,,,,,
Block L,Block L,3,3,2025-07-29,afternoon,6.95,29.2,,,,,
Block L,Block L,3,3,2025-07-29,morning,6.97,27.9,,,,,
Block L,Block L,3,3,2025-07-30,afternoon,6.99,29.1,,,,,
Block L,Block L,4,4,2025-07-01,afternoon,6.84,28.3,,,,,
Block L,Block L,4,4,2025-07-01,morning,6.86,27.3,,,,,
Block L,Block L,4,4,2025-07-02,afternoon,6.63,27.8,,,,,
Block L,Block L,4,4,2025-07-02,morning,5.36,27.6,,,,,
Block L,Block L,4,4,2025-07-03,morning,6.98,26.5,,,,,
Block L,Block L,4,4,2025-07-04,afternoon,6.84,27.0,,,,,
Block L,Block L,4,4,2025-07-04,morning,6.95,26.7,,,,,
Block L,Block L,4,4,2025-07-08,afternoon,6.53,27.6,,,,,
