location,zone,tank_id
Hatchery,Hatchery,1
Hatchery,Hatchery,2
Hatchery,Hatchery,3
Hatchery,Hatchery,4
Hatchery,Hatchery,5
Hatchery,Hatchery,6
Hatchery,Hatchery,7
Hatchery,Hatchery,8
Hatchery,Hatchery,9
Hatchery,Hatchery,10
Hatchery,Hatchery,11
Hatchery,Hatchery,12
Hatchery,Hatchery,13
Hatchery,Hatchery,14
Hatchery,Hatchery,15
Hatchery,Hatchery,16
Hatchery,Hatchery,17
Hatchery,Hatchery,18
Fish Tank 1,Fish Tanks,1
Fish Tank 1,Fish Tanks,2
Fish Tank 1,Fish Tanks,3
Fish Tank 1,Fish Tanks,4
Fish Tank 1,Fish Tanks,5
Fish Tank 1,Fish Tanks,6
Fish Tank 1,Fish Tanks,7
Fish Tank 1,Fish Tanks,8
Fish Tank 1,Fish Tanks,9
Fish Tank 1,Fish Tanks,10
Fish Tank 1,Fish Tanks,11
Fish Tank 1,Fish Tanks,12
Fish Tank 1,Fish Tanks,13
Fish Tank 1,Fish Tanks,14
Fish Tank 1,Fish Tanks,15
Fish Tank 1,Fish Tanks,16
Fish Tank 1,Fish Tanks,17
Fish Tank 1,Fish Tanks,18
Fish Tank 1,Fish Tanks,19
Fish Tank 1,Fish Tanks,20
Fish Tank 1,Fish Tanks,21
Fish Tank 1,Fish Tanks,22
Fish Tank 1,Fish Tanks,23
Fish Tank 1,Fish Tanks,24
Fish Tank 2,Fish Tanks,25
Fish Tank 2,Fish Tanks,26
Fish Tank 2,Fish Tanks,27
Fish Tank 2,Fish Tanks,28
Fish Tank 2,Fish Tanks,29
Fish Tank 2,Fish Tanks,30
Fish Tank 2,Fish Tanks,31
Fish Tank 2,Fish Tanks,32
Fish Tank 2,Fish Tanks,33
Fish Tank 2,Fish Tanks,34
Fish Tank 2,Fish Tanks,35
Fish Tank 2,Fish Tanks,36
Fish Tank 2,Fish Tanks,37
Fish Tank 2,Fish Tanks,38
Fish Tank 2,Fish Tanks,39
Fish Tank 2,Fish Tanks,40
Fish Tank 2,Fish Tanks,41
Fish Tank 2,Fish Tanks,42
Fish Tank 2,Fish Tanks,43
Fish Tank 2,Fish Tanks,44
Fish Tank 2,Fish Tanks,45
Fish Tank 2,Fish Tanks,46
Fish Tank 2,Fish Tanks,47
Fish Tank 2,Fish Tanks,48
Fish Tank 2,Fish Tanks,49
Fish Tank 2,Fish Tanks,50
Fish Tank 2,Fish Tanks,51
Fish Tank 2,Fish Tanks,52
Fish Tank 2,Fish Tanks,53
Fish Tank 2,Fish Tanks,54
Fish Tank 2,Fish Tanks,55
Fish Tank 2,Fish Tanks,56
Fish Tank 2,Fish Tanks,57
Fish Tank 2,Fish Tanks,58
Fish Tank 2,Fish Tanks,59
Fish Tank 2,Fish Tanks,60
Fish Tank 2,Fish Tanks,61
Fish Tank 2,Fish Tanks,62
Fish Tank 2,Fish Tanks,63
Fish Tank 2,Fish Tanks,64
Fish Tank 2,Fish Tanks,65
Fish Tank 2,Fish Tanks,66
Fish Tank 2,Fish Tanks,67
Fish Tank 2,Fish Tanks,68
Fish Tank 2,Fish Tanks,69
Fish Tank 2,Fish Tanks,70
Fish Tank 2,Fish Tanks,71
Fish Tank 2,Fish Tanks,72
Fish Tank 2,Fish Tanks,73
Fish Tank 2,Fish Tanks,74
Fish Tank 2,Fish Tanks,75
Fish Tank 2,Fish Tanks,76
Fish Tank 2,Fish Tanks,77
Fish Tank 2,Fish Tanks,78
Fish Tank 2,Fish Tanks,79
Fish Tank 2,Fish Tanks,80
Fish Tank 2,Fish Tanks,81
Fish Tank 2,Fish Tanks,82
Fish Tank 2,Fish Tanks,83
Fish Tank 2,Fish Tanks,84
Fish Tank 2,Fish Tanks,85
Fish Tank 2,Fish Tanks,86
Fish Tank 2,Fish Tanks,87
Fish Tank 2,Fish Tanks,88
Fish Tank 2,Fish Tanks,89
Fish Tank 2,Fish Tanks,90
Fish Tank 3,Fish Tanks,91
Fish Tank 3,Fish Tanks,92
Fish Tank 3,Fish Tanks,93
Fish Tank 3,Fish Tanks,94
Fish Tank 3,Fish Tanks,95
Fish Tank 3,Fish Tanks,96
Fish Tank 3,Fish Tanks,97
Fish Tank 3,Fish Tanks,98
Fish Tank 3,Fish Tanks,99
Fish Tank 3,Fish Tanks,100
Fish Tank 3,Fish Tanks,101
Fish Tank 3,Fish Tanks,102
Fish Tank 3,Fish Tanks,103
Fish Tank 3,Fish Tanks,104
Fish Tank 3,Fish Tanks,105
Fish Tank 3,Fish Tanks,106
Fish Tank 3,Fish Tanks,107
Fish Tank 3,Fish Tanks,108
Fish Tank 3,Fish Tanks,109
Fish Tank 3,Fish Tanks,110
Fish Tank 3,Fish Tanks,111
Fish Tank 3,Fish Tanks,112
Fish Tank 3,Fish Tanks,113
Fish Tank 3,Fish Tanks,114
Fish Tank 3,Fish Tanks,115
Fish Tank 3,Fish Tanks,116
Fish Tank 3,Fish Tanks,117
Fish Tank 3,Fish Tanks,118
Fish Tank 3,Fish Tanks,119
Fish Tank 3,Fish Tanks,120
Fish Tank 3,Fish Tanks,121
Fish Tank 3,Fish Tanks,122
Fish Tank 3,Fish Tanks,123
Fish Tank 3,Fish Tanks,124
Fish Tank 3,Fish Tanks,125
Fish Tank 3,Fish Tanks,126
Fish Tank 3,Fish Tanks,127
Fish Tank 3,Fish Tanks,128
Fish Tank 3,Fish Tanks,129
Fish Tank 3,Fish Tanks,130
Fish Tank 3,Fish Tanks,131
Fish Tank 3,Fish Tanks,132
Fish Tank 3,Fish Tanks,133
Fish Tank 3,Fish Tanks,134
Fish Tank 3,Fish Tanks,135
Fish Tank 3,Fish Tanks,136
Fish Tank 3,Fish Tanks,137
Fish Tank 3,Fish Tanks,138
Fish Tank 3,Fish Tanks,139
Fish Tank 3,Fish Tanks,140
Fish Tank 3,Fish Tanks,141
Fish Tank 3,Fish Tanks,142
Fish Tank 3,Fish Tanks,143
Fish Tank 3,Fish Tanks,144
Fish Tank 3,Fish Tanks,145
Fish Tank 3,Fish Tanks,146
Fish Tank 3,Fish Tanks,147
Fish Tank 3,Fish Tanks,148
Fish Tank 3,Fish Tanks,149
Fish Tank 3,Fish Tanks,150
Fish Tank 3,Fish Tanks,151
Fish Tank 3,Fish Tanks,152
Fish Tank 3,Fish Tanks,153
Fish Tank 3,Fish Tanks,154
Fish Tank 3,Fish Tanks,155
Fish Tank 3,Fish Tanks,156
Fish Tank 3,Fish Tanks,157
Fish Tank 3,Fish Tanks,158
Fish Tank 3,Fish Tanks,159
Fish Tank 3,Fish Tanks,160
Fish Tank 3,Fish Tanks,161
Fish Tank 3,Fish Tanks,162
Fish Tank 3,Fish Tanks,163
Fish Tank 3,Fish Tanks,164
Fish Tank 3,Fish Tanks,165
Fish Tank 3,Fish Tanks,166
Fish Tank 3,Fish Tanks,167
Fish Tank 3,Fish Tanks,168
Fish Tank 3,Fish Tanks,169
Fish Tank 3,Fish Tanks,170
Fish Tank 3,Fish Tanks,171
Fish Tank 3,Fish Tanks,172
Fish Tank 3,Fish Tanks,173
Fish Tank 3,Fish Tanks,174
Fish Tank 3,Fish Tanks,175
Fish Tank 3,Fish Tanks,176
Fish Tank 3,Fish Tanks,177
Fish Tank 3,Fish Tanks,178
Fish Tank 3,Fish Tanks,179
Fish Tank 3,Fish Tanks,180
Fish Tank 3,Fish Tanks,181
Fish Tank 3,Fish Tanks,182
Fish Tank 3,Fish Tanks,183
Fish Tank 3,Fish Tanks,184
Fish Tank 3,Fish Tanks,185
Fish Tank 3,Fish Tanks,186
Fish Tank 3,Fish Tanks,187
Fish Tank 3,Fish Tanks,188
Fish Tank 3,Fish Tanks,189
Fish Tank 3,Fish Tanks,190
Fish Tank 3,Fish Tanks,191
Fish Tank 3,Fish Tanks,192
Fish Tank 3,Fish Tanks,193
Fish Tank 3,Fish Tanks,194
Fish Tank 3,Fish Tanks,195
Fish Tank 3,Fish Tanks,196
Fish Tank 3,Fish Tanks,197
Fish Tank 3,Fish Tanks,198
Fish Tank 3,Fish Tanks,199
Fish Tank 3,Fish Tanks,200
Fish Tank 3,Fish Tanks,201
Fish Tank 3,Fish Tanks,202
Fish Tank 3,Fish Tanks,203
Fish Tank 3,Fish Tanks,204
Fish Tank 3,Fish Tanks,205
Fish Tank 3,Fish Tanks,206
Fish Tank 3,Fish Tanks,207
Fish Tank 3,Fish Tanks,208
Fish Tank 3,Fish Tanks,209
Fish Tank 3,Fish Tanks,210
Block L,Block L,1
Block L,Block L,2
Block L,Block L,3
Block L,Block L,4
Block L,Block L,5
Block L,Block L,6
Block L,Block L,7
Block L,Block L,8
Block L,Block L,9
Block L,Block L,10
Block L,Block L,11
Block L,Block L,12
Block L,Block L,13
Block L,Block L,14
Block L,Block L,15
Block L,Block L,16
Block L,Block L,17
Block L,Block L,18
Block L,Block L,19
Block L,Block L,20
Block L,Block L,21
Block L,Block L,22
Block L,Block L,23
Block L,Block L,24
Water Storage,Water Storage,1
Water Storage,Water Storage,2
Water Storage,Water Storage,3
Water Storage,Water Storage,4
Water Storage,Water Storage,5
Water Storage,Water Storage,6
